# Matter power spectrum P(k) at redshift z=100
# for k=1.045e-05 to 106.861 h/Mpc,
# number of wavenumbers equal to 623
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.498293920807e-01       4.609703363077e-02 
       5.530432610219e-01       4.551876460398e-02 
       5.562571300865e-01       4.495128365223e-02 
       5.594709992723e-01       4.439443009181e-02 
       5.626848685772e-01       4.384837396357e-02 
       5.658987379993e-01       4.331290988829e-02 
       5.691126075365e-01       4.278795038676e-02 
       5.723264771868e-01       4.227307651574e-02 
       5.755403469485e-01       4.176752086896e-02 
       5.787542168196e-01       4.127041294282e-02 
       5.819680867983e-01       4.078107295467e-02 
       5.851819568828e-01       4.029907101988e-02 
       5.883958270714e-01       3.982435226818e-02 
       5.916096973624e-01       3.935698161641e-02 
       5.948235677541e-01       3.889699059715e-02 
       5.980374382449e-01       3.844414108403e-02 
       6.012513088332e-01       3.799817049478e-02 
       6.044651795175e-01       3.755869016132e-02 
       6.076790502961e-01       3.712553359918e-02 
       6.108929211677e-01       3.669871748538e-02 
       6.141067921308e-01       3.627858412281e-02 
       6.173206631839e-01       3.586544475218e-02 
       6.205345343256e-01       3.545945849198e-02 
       6.237484055545e-01       3.506054447406e-02 
       6.269622768694e-01       3.466843307622e-02 
       6.301761482688e-01       3.428261490388e-02 
       6.333900197516e-01       3.390290056941e-02 
       6.366038913164e-01       3.352907336538e-02 
       6.398177629619e-01       3.316111079787e-02 
       6.430316346871e-01       3.279906099286e-02 
       6.462455064906e-01       3.244289439194e-02 
       6.494593783714e-01       3.209232858575e-02 
       6.526732503282e-01       3.174702308988e-02 
       6.558871223600e-01       3.140655996610e-02 
       6.591009944657e-01       3.107071285767e-02 
       6.623148666441e-01       3.073939700748e-02 
       6.655287388943e-01       3.041278135356e-02 
       6.687426112152e-01       3.009095960367e-02 
       6.719564836057e-01       2.977403816636e-02 
       6.751703560649e-01       2.946190965348e-02 
       6.783842285918e-01       2.915436254382e-02 
       6.815981011854e-01       2.885112922146e-02 
       6.848119738448e-01       2.855206667943e-02 
       6.880258465691e-01       2.825717612660e-02 
       6.912397193574e-01       2.796657179327e-02 
       6.944535922087e-01       2.768038310013e-02 
       6.976674651222e-01       2.739861031656e-02 
       7.008813380971e-01       2.712113714382e-02 
       7.040952111324e-01       2.684779222057e-02 
       7.073090842275e-01       2.657812032473e-02 
       7.105229573814e-01       2.631204143286e-02 
       7.137368305933e-01       2.604951647945e-02 
       7.169507038626e-01       2.579059022495e-02 
       7.201645771883e-01       2.553536379399e-02 
       7.233784505698e-01       2.528382646859e-02 
       7.265923240064e-01       2.503583974258e-02 
       7.298061974972e-01       2.479120816824e-02 
       7.330200710416e-01       2.454973544581e-02 
       7.362339446388e-01       2.431127784663e-02 
       7.394478182883e-01       2.407586588042e-02 
       7.426616919892e-01       2.384358958913e-02 
       7.458755657410e-01       2.361455788271e-02 
       7.490894395429e-01       2.338878776377e-02 
       7.523033133944e-01       2.316618953905e-02 
       7.555171872948e-01       2.294657422000e-02 
       8.259205627815e-01       1.878180797959e-02 
       9.280150980228e-01       1.441180740392e-02 
       1.090552453521e+00       9.937786738704e-03 
       1.346943533441e+00       6.060808012771e-03 
       1.693655695988e+00       3.511009306898e-03 
       2.132152443295e+00       2.009944472000e-03 
       2.684220786091e+00       1.141207971264e-03 
       3.379233758430e+00       6.431755866533e-04 
       4.254203250880e+00       3.600604996036e-04 
       5.355724579470e+00       2.003367215091e-04 
       6.742457771666e+00       1.108433355439e-04 
       8.488251426699e+00       6.101482978973e-05 
       1.068607542277e+01       3.342864674319e-05 
       1.345297190207e+01       1.823556670247e-05 
       1.693628819167e+01       9.907842750839e-06 
       2.132152358597e+01       5.363254902921e-06 
       2.684220786054e+01       2.893167439123e-06 
       3.379233758430e+01       1.555628213940e-06 
       4.254203250880e+01       8.338891516511e-07 
